x,y,z
2.5766258,-0.42868096,-3.9186664
2.6713507,-0.42666668,-3.898936
2.6563556,-0.45333335,-3.8743994
2.8712804,-0.4110997,-3.9063873
2.9066668,-0.4110997,-3.9055474
2.9333334,-0.41275328,-3.9191601
2.9607677,-0.40165356,-3.9191601
2.6563556,-0.4960874,-3.8954635
2.6547675,-0.5356651,-3.8554516
2.6547675,-0.58666664,-3.8674023
2.6670756,-0.61333334,-3.8519506
2.7192578,-0.6324622,-3.919218
2.7222588,-0.6324622,-3.919218
2.7918718,-0.07229975,-3.9887297
2.8533335,-0.06388601,-3.975888
2.8266668,-0.05618576,-3.9887297
2.9333334,-0.066643536,-3.9774072
2.9066668,-0.050529554,-3.987158
2.9794073,-0.066643536,-3.990249
2.7918718,-0.10666667,-3.9647386
2.7792163,-0.13333334,-3.9760091
2.839744,-0.15442884,-3.9226756
2.8533335,-0.12776217,-3.9365008
2.8266668,-0.10666667,-3.951897
2.8824506,-0.12776217,-3.933825
2.909117,-0.13333334,-3.9491427
2.9333334,-0.10666667,-3.9660583
2.994714,-0.10666667,-3.990249
2.975307,-0.13333334,-3.9789
2.7873447,-0.16550998,-3.9493425
2.7706714,-0.19217664,-3.9466667
2.766908,-0.21333334,-3.9733334
2.8130772,-0.16550998,-3.9226756
2.9357836,-0.18634129,-3.935318
3.0134113,-0.22807784,-3.9707906
2.9867444,-0.22775249,-3.9466667
3.0019739,-0.2010858,-3.9733334
2.975307,-0.18634129,-3.9619844
2.579805,-0.2975022,-3.9807415
2.7884233,-0.30579844,-3.9674618
2.7846599,-0.27913177,-3.9733334
2.7679868,-0.26666668,-3.9466667
2.805565,-0.30579844,-3.9941282
2.654995,-0.3807206,-3.937221
2.7884233,-0.33300304,-3.9407952
2.8712804,-0.39596328,-3.9660735
2.8446138,-0.38229963,-3.9466667
2.832232,-0.355633,-3.9733334
2.805565,-0.33300304,-3.9674618
2.8852806,-0.39596328,-3.9927402
2.654995,-0.42666668,-3.9491277
2.6713507,-0.45333335,-3.9319067
2.7114522,-0.4681105,-3.9871674
2.738308,-0.4681105,-3.9871674
2.8712804,-0.4110997,-3.9394066
2.9119475,-0.41565666,-3.9927402
2.9066668,-0.42675638,-3.9660735
2.9333334,-0.42840993,-3.9466667
2.9683313,-0.40165356,-3.9466667
2.9675634,-0.41731024,-3.9733334
2.6893897,-0.53333336,-3.9741912
2.7114522,-0.50666666,-3.9613583
2.6563556,-0.4960874,-3.9319067
2.7649748,-0.49238798,-3.9871674
2.7733333,-0.51905465,-3.9762206
2.746667,-0.53333336,-3.9504118
2.8210154,-0.54572135,-3.9890535
2.7222588,-0.60579556,-3.9208577
2.7489254,-0.61333334,-3.929067
2.7733333,-0.58666664,-3.9447875
2.8476818,-0.5700115,-3.9890535
2.8533335,-0.59667814,-3.9808187
2.8266668,-0.61333334,-3.9623616
2.9333334,-0.63415533,-3.9855132
2.9066668,-0.6175001,-3.991765
2.9774084,-0.63415533,-3.9937482
2.7194817,-0.0765576,-4.075158
2.765205,-0.07229975,-4.0218244
2.746667,-0.06885734,-4.048491
2.7733333,-0.05409164,-4.0533333
2.8708997,-0.010552679,-4.0403767
2.844233,-0.022453632,-4.0533333
2.8266668,-0.04142005,-4.0266666
2.9066668,-0.023862885,-4.01371
2.9333334,-0.013310207,-4.025581
2.9794073,-0.03997687,-4.011871
3.006074,-0.053333335,-4.015833
3.0133333,-0.026666667,-4.036452
3.0767434,-0.014234943,-4.0739517
3.0933335,-0.040901612,-4.066138
3.0666668,-0.053333335,-4.0434337
3.132249,-0.06756828,-4.0721855
2.7194817,-0.08078902,-4.075158
2.7385385,-0.08078902,-4.048491
2.7613978,-0.10745569,-4.0533333
2.775409,-0.13333334,-4.0266666
3.0286403,-0.13333334,-4.0122786
3.021381,-0.10666667,-4.0039625
3.0933335,-0.10666667,-4.0422015
3.0666668,-0.13333334,-4.0316653
3.1438696,-0.10666667,-4.0721855
3.1316206,-0.13333334,-4.0649056
2.7797742,-0.18666668,-4.0266666
2.789085,-0.21333334,-4.0533333
3.0286403,-0.17474453,-4.008316
3.0421932,-0.20141119,-4.008316
